stock1,stock2,trade_capital,open,loss,reward,open_num
1326,2409,174.16175,4.000000000000004,12.500000000000034,0.06174999999999642,1
1319,1477,683.865,3.2499999999999982,5.500000000000034,9.264999999999986,1
1319,6505,731.849,2.086678832116794,6.2883211678832325,-1.8759999999999764,1
1590,3406,1884.3825000000002,2.193017888055368,4.018753606462444,-28.363500000000045,1
1477,3406,681.727,0.5000000000002669,2.500000000000112,-22.158500000000004,1
2049,3406,1743.045,2.193017888055368,4.018753606462444,-21.542500000000132,1
2449,3443,322.592,1.1218344155846804,3.0000000000002496,4.042000000000002,1
2915,3406,514.9575,2.086678832116794,6.2883211678832325,-10.742500000000007,1
3406,3682,275.599,2.6328389830508536,8.9762711864407,-8.791000000000011,1
3406,4938,408.2175,2.6328389830508536,8.9762711864407,-8.842499999999973,1
3406,6116,276.31855,0.7288428324698772,4.0090056748083995,-14.681450000000005,1
