stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness,profit_without_cost,profit_tax1,profit_tax2,open number,return,std1,skew1,timetrend,pos,int_w1,int_w2,done,StrategyOpenTime,StrategyCloseTime,Open_price,Open_pos,Close_price
2002,2330,model3,0.08149999886123778,0.9185000011387622,0.6519547336898793,0.42458618894974864,0.16283999999999987,5.065677468361099,0.0012945249299006164,-0.48499159688501203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,2890,model3,-0.11571803961980379,0.8842819603801962,0.5057465450154768,0.4835828723348874,0.10161999999999989,1.5889862460195827,0.0005343576578380174,-0.19201009055813376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,2892,model3,-0.2632031741001617,0.7367968258998383,0.34050882355970064,0.931145297820966,0.20964666666666668,1.2985120100466594,0.0010754834655522458,0.021413852414291182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2408,2890,model3,-0.10106833863247441,0.8989316613675256,0.8632897328835931,0.6705209456736438,0.18066,1.6014288597849038,0.0004816414313537907,-0.09416154328363643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2408,2892,model3,-0.1986742323182945,0.8013257676817054,0.9348819567126153,0.8503051856686977,0.15742666666666658,1.5608135205827391,0.001189271383060243,0.1272354583881916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,2890,model3,-0.045131395998725565,0.9548686040012745,0.7565100880900284,0.5396783955132335,0.14093999999999982,2.000026721813356,0.0005555460643529755,-0.10720393895458934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,2892,model3,-0.1520554944824141,0.8479445055175858,0.715640566492825,1.582047428623717,0.2510866666666669,2.074429348880657,0.0010920226834435676,0.19776396029649093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,3481,model3,-0.3898525269350279,0.6101474730649721,0.9364202348600877,1.1516208233784,0.17597333333333315,0.6556675709144181,0.0010319226871749962,0.09311702372398868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2892,3481,model3,-0.7855250708713316,0.21447492912866842,0.7509876417436374,1.2678953493864522,0.28380000000000044,-1.7010138367799381,0.0011027648675307645,-0.22447310121372202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2892,4904,model3,-0.7369751270250341,-0.26302487297496596,0.03155971437719214,0.6342219637561349,0.12161333333333338,-3.278250690853572,0.001204871406509038,-0.2227183901424538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2886,4904,model3,-0.7268008010636006,0.27319919893639943,0.03160939417039795,1.152884873266416,0.3161066666666668,-1.1271085139179395,0.0006922312122420708,0.36276905658995934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2890,2892,model1,0.5672928481058365,-0.4327071518941635,0.8619557949481812,0.6734207241250945,0.13296666666666687,-2.795672250999785e-05,0.0007316178670983467,0.0011111999836745864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2890,4904,model3,-0.9275264824495796,0.07247351755042045,0.026455918988546125,0.3784330460589605,0.18220666666666663,-1.741183679555395,0.0005933456990531318,0.434101108420511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
