stock1,stock2,trade_capital,open,loss,reward,open_num
1314,3406,304.74150000000003,1.5,3,0.7665000000000077,1
1590,2337,342.462,1.5,3,-1.7379999999999995,1
1590,3406,1884.3825000000002,1.5,3,5.332499999999982,1
2049,3406,1743.7995,1.5,3,7.299499999999966,1
2379,3406,737.2574999999999,1.5,3,-5.742500000000007,1
2449,6239,241.06300000000002,1.5,3,-0.21199999999998909,1
2492,4938,444.6205,1.5,3,0.970499999999987,1
2812,3406,292.2385,1.5,3,-7.894750000000009,1
2915,3406,511.9665,1.5,3,-8.129000000000019,1
3406,4938,405.2265,1.5,3,-5.4725999999999715,1
3406,6116,279.80805000000004,1.5,3,0.6080500000000129,1
